date,price,log_return,HDD,CDD,NGPL Production,Natural Gas Balancing Item,Natural Gas Consumption,Natural Gas Exports,Natural Gas Gross Withdrawals,Natural Gas Imports,Natural Gas Marketed Production (Wet),Natural Gas Net Imports,Natural Gas Net Storage Withdrawals,Natural Gas Production (Dry),Supplemental Gaseous Fuels
1997-01-17,3.91,-0.0025542798050965,935.0,8.0,82.811,-69.813,2540.341,12.028,2086.781,278.288,1707.002,266.259,709.028,1624.195,10.672
1997-01-24,2.62,-0.4003630562242689,935.0,8.0,82.811,-69.813,2540.341,12.028,2086.781,278.288,1707.002,266.259,709.028,1624.195,10.672
1997-01-31,2.77,0.0556730024262416,935.0,8.0,82.811,-69.813,2540.341,12.028,2086.781,278.288,1707.002,266.259,709.028,1624.195,10.672
1997-02-07,2.39,-0.1475539542558278,677.0,12.0,75.031,193.108,2273.601,12.443,1903.271,240.545,1546.616,228.102,371.446,1471.59,9.354
1997-02-14,2.12,-0.1198772772594981,677.0,12.0,75.031,193.108,2273.601,12.443,1903.271,240.545,1546.616,228.102,371.446,1471.59,9.354
1997-02-21,1.92,-0.099090902644231,677.0,12.0,75.031,193.108,2273.601,12.443,1903.271,240.545,1546.616,228.102,371.446,1471.59,9.354
1997-02-28,1.78,-0.0757118217356963,677.0,12.0,75.031,193.108,2273.601,12.443,1903.271,240.545,1546.616,228.102,371.446,1471.59,9.354
1997-03-07,1.89,0.0599634647675572,557.0,31.0,83.307,112.126,2156.271,16.276,2101.041,256.985,1717.215,240.709,160.32,1633.912,9.204
1997-03-14,1.97,0.0414567136783461,557.0,31.0,83.307,112.126,2156.271,16.276,2101.041,256.985,1717.215,240.709,160.32,1633.912,9.204
1997-03-21,1.87,-0.0520951118834017,557.0,31.0,83.307,112.126,2156.271,16.276,2101.041,256.985,1717.215,240.709,160.32,1633.912,9.204
1997-03-28,1.84,-0.016172859245601,557.0,31.0,83.307,112.126,2156.271,16.276,2101.041,256.985,1717.215,240.709,160.32,1633.912,9.204
1997-04-04,1.91,0.0373376704376441,417.0,20.0,79.4,112.852,1842.037,13.872,1990.883,238.178,1636.678,224.306,-60.856,1557.283,8.452
1997-04-11,1.98,0.0359936026479054,417.0,20.0,79.4,112.852,1842.037,13.872,1990.883,238.178,1636.678,224.306,-60.856,1557.283,8.452
1997-04-18,2.1,0.0588405000229335,417.0,20.0,79.4,112.852,1842.037,13.872,1990.883,238.178,1636.678,224.306,-60.856,1557.283,8.452
