YYYYMM,Natural Gas Gross Withdrawals,Natural Gas Marketed Production (Wet),NGPL Production,Natural Gas Production (Dry),Supplemental Gaseous Fuels,Natural Gas Imports,Natural Gas Exports,Natural Gas Net Imports,Natural Gas Net Storage Withdrawals,Natural Gas Balancing Item,Natural Gas Consumption
197301,,1948,79,1869,,92.694,5.808,86.887,,,2348
197302,,1962,79,1883,,83.87,6.079,77.791,,,2126
197303,,1907,77,1830,,91.581,4.021,87.56,,,2015
197304,,1814,73,1741,,88.407,8.017,80.39,,,1835
197305,,1898,77,1821,,85.844,8.741,77.103,,,1729
197306,,1839,74,1765,,79.121,4.131,74.989,,,1534
197307,,1880,76,1804,,79.428,5.744,73.684,,,1558
197308,,1896,77,1819,,84.4,8.726,75.674,,,1582
197309,,1840,74,1766,,81.157,6.403,74.754,,,1527
197310,,1875,76,1799,,92.151,5.473,86.679,,,1708
197311,,1863,75,1788,,85.784,5.545,80.239,,,1905
197312,,1926,78,1848,,88.466,8.481,79.985,,,2182
197401,,1930,79,1851,,85.815,5.661,80.154,,,2230
197402,,1760,72,1688,,78.919,5.949,72.97,,,2054
197403,,1895,78,1817,,85.19,6.677,78.513,,,2003
197404,,1780,73,1707,,83.371,6.273,77.099,,,1691
197405,,1847,76,1771,,79.764,5.481,74.283,,,1608
197406,,1740,71,1669,,74.245,7.61,66.635,,,1439
197407,,1818,75,1743,,73.247,8.072,65.175,,,1514
197408,,1790,74,1716,,76.037,5.332,70.705,,,1510
197409,,1755,72,1683,,70.511,6.397,64.114,,,1537
197410,,1767,73,1694,,82.625,5.332,77.293,,,1706
197411,,1729,71,1658,,83.107,7.039,76.068,,,1827
197412,,1790,74,1716,,86.454,6.966,79.488,,,2104
197501,,1779,77,1702,,80.824,3.959,76.865,,,2248
197502,,1645,71,1574,,74.496,6.982,67.514,,,1939
197503,,1738,75,1663,,83.38,6.265,77.115,,,1903
197504,,1672,73,1599,,82.132,5.815,76.317,,,1575
197505,,1689,73,1616,,79.818,6.677,73.141,,,1331
197506,,1634,71,1563,,76.307,3.624,72.683,,,1257
197507,,1677,73,1604,,80.037,8.091,71.947,,,1313
197508,,1677,73,1604,,75.311,6.288,69.023,,,1369
197509,,1603,70,1533,,73.606,6.037,67.569,-189,-41.569,1370
197510,,1646,71,1575,,80.468,5.987,74.481,-139,33.519,1544
197511,,1618,70,1548,,80.761,5.202,75.559,48,-31.559,1640
197512,,1730,75,1655,,85.867,7.748,78.119,333,-17.119,2049
197601,,1751,75,1676,,84.395,5.323,79.072,472,63.928,2291
