year_month,HDD
197301,5
197302,3
197303,19
197304,13
197305,62
197306,214
197307,297
197308,281
197309,143
197310,50
197311,17
197312,4
197401,15
197402,5
197403,22
197404,23
197405,88
197406,149
197407,297
197408,242
197409,97
197410,30
197411,8
197412,5
197501,10
197502,8
197503,11
197504,20
197505,106
197506,185
197507,282
197508,275
197509,99
197510,42
197511,10
197512,4
197601,4
197602,9
197603,19
197604,23
197605,56
197606,190
197607,264
197608,222
197609,107
197610,20
197611,6
197612,4
197701,2
197702,4
197703,18
197704,29
197705,114
197706,191
197707,334
197708,270
197709,158
197710,34
197711,13
197712,5
197801,3
197802,2
197803,9
197804,27
197805,82
197806,198
197807,291
197808,280
197809,159
197810,40
197811,17
197812,8
197901,3
197902,3
197903,12
197904,27
197905,73
197906,169
197907,277
197908,246
197909,137
197910,43
197911,10
197912,5
198001,6
198002,3
198003,12
198004,19
198005,87
198006,182
198007,359
198008,328
198009,174
198010,34
198011,9
198012,4
198101,3
198102,5
198103,9
198104,45
198105,67
198106,236
198107,316
198108,255
198109,121
198110,36
198111,11
198112,5
198201,6
198202,9
198203,19
198204,23
198205,108
198206,150
198207,302
198208,243
198209,124
198210,39
198211,14
198212,9
198301,4
198302,4
198303,9
198304,12
198305,66
198306,179
198307,338
198308,345
198309,154
198310,49
198311,12
198312,6
198401,5
198402,6
198403,13
198404,22
198405,85
198406,221
198407,279
198408,297
198409,128
198410,61
198411,10
198412,14
198501,3
198502,6
198503,21
198504,35
198505,103
198506,181
198507,300
198508,254
198509,133
198510,60
198511,24
198512,4
198601,7
198602,10
198603,16
198604,31
198605,100
198606,218
198607,329
198608,245
198609,150
198610,45
198611,23
198612,9
198701,5
198702,7
198703,12
198704,20
198705,121
198706,232
198707,324
198708,287
198709,144
198710,36
198711,14
198712,8
198801,5
198802,5
198803,13
198804,26
198805,86
198806,207
198807,349
198808,335
198809,140
198810,41
198811,19
198812,7
198901,14
198902,7
198903,19
198904,33
198905,85
198906,197
198907,303
198908,254
198909,128
198910,44
198911,16
198912,3
199001,14
199002,14
199003,20
199004,28
199005,83
199006,221
199007,305
199008,279
199009,160
199010,51
199011,17
199012,10
199101,10
199102,9
199103,20
199104,41
199105,142
199106,224
199107,325
199108,292
199109,142
199110,57
199111,10
199112,10
199201,6
199202,10
199203,16
199204,27
199205,75
199206,162
199207,276
199208,220
199209,142
199210,45
199211,14
199212,8
199301,12
199302,6
199303,11
199304,18
199305,87
199306,196
199307,334
199308,304
199309,139
199310,44
199311,12
199312,5
199401,7
199402,10
199403,18
199404,37
199405,76
199406,252
199407,318
199408,254
199409,133
199410,47
199411,23
199412,10
199501,7
199502,8
199503,19
199504,29
199505,92
199506,194
199507,339
199508,352
199509,144
199510,58
199511,14
199512,6
199601,7
199602,7
199603,9
199604,26
199605,117
199606,219
199607,296
199608,281
199609,133
199610,45
199611,15
199612,8
199701,8
199702,12
199703,31
199704,20
199705,82
199706,183
199707,308
199708,263
199709,165
199710,46
199711,11
199712,6
199801,12
199802,7
199803,11
199804,24
199805,135
199806,223
199807,345
199808,332
199809,207
199810,60
199811,22
199812,12
199901,12
199902,12
199903,14
199904,42
199905,95
199906,213
199907,364
199908,300
199909,150
199910,55
199911,19
199912,7
200001,9
200002,11
200003,28
200004,29
200005,135
200006,218
200007,283
200008,300
200009,154
200010,50
200011,10
200012,5
200101,4
200102,14
200103,13
200104,40
200105,118
200106,218
200107,301
200108,330
200109,138
200110,46
200111,22
200112,12
200201,10
200202,7
200203,18
200204,52
200205,90
200206,236
200207,362
200208,322
200209,195
200210,56
200211,12
200212,6
200301,5
200302,9
200303,25
200304,31
200305,108
200306,182
200307,331
200308,335
200309,152
200310,64
200311,23
200312,5
200401,7
200402,8
200403,29
200404,29
200405,135
200406,202
200407,295
200408,248
200409,171
200410,68
200411,19
200412,6
200501,11
200502,9
200503,14
200504,25
200505,83
200506,244
200507,365
200508,345
200509,209
200510,56
200511,21
200512,6
200601,14
200602,6
200603,21
200604,55
200605,109
200606,233
200607,382
200608,330
200609,134
200610,47
200611,15
200612,13
200701,12
200702,6
200703,31
200704,25
200705,118
200706,232
200707,307
200708,362
200709,187
200710,81
200711,18
200712,14
200801,8
200802,13
200803,20
200804,32
200805,93
200806,262
200807,332
200808,282
200809,171
200810,49
200811,13
200812,10
200901,8
200902,9
200903,20
200904,30
200905,118
200906,222
200907,287
200908,304
200909,169
200910,49
200911,18
200912,8
201001,4
201002,3
201003,9
201004,36
201005,128
